Altium Designer Pick and Place Locations
C:\Users\mgundersen\Desktop\Projects\Multiplexor Testing Device\multiplexor ECAD\Project Outputs for Multiplexor\Pick Place\Pick Place for multiplexor.txt

========================================================================================================================
File Design Information:

Date:       15/08/22
Time:       09:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment            Layer    Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                        
J7         ""                 TopLayer 10pinheader                12039.370     16792.520     270      TMMH-105-01-F-D                                                    
R25        0603_k4.7K         TopLayer RESC1608N                  9450.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R24        0603_k4.7K         TopLayer RESC1608N                  9350.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R23        0603_k4.7K         TopLayer RESC1608N                  9250.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R22        0603_k4.7K         TopLayer RESC1608N                  6850.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R21        0603_k4.7K         TopLayer RESC1608N                  6750.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R20        0603_k4.7K         TopLayer RESC1608N                  6650.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R19        0603_k4.7K         TopLayer RESC1608N                  6550.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R18        0603_k4.7K         TopLayer RESC1608N                  6450.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R17        0603_k4.7K         TopLayer RESC1608N                  6350.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R12        0603_k4.7K         TopLayer RESC1608N                  4300.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R8         0603_k4.7K         TopLayer RESC1608N                  3900.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R7         0603_k4.7K         TopLayer RESC1608N                  3800.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
K1         6-1423008-7        TopLayer RELAY_6-1423008-7          1900.000      12342.126     270      "General Purpose Relay DPST-NO (2 Form A) 24VDC Coil Through Hole" 
"Slave #4" MCP23008-E/P       TopLayer PDIP18_300MC_MCH           9300.000      16950.000     90       "No Description Available"                                         
"Slave #3" MCP23008-E/P       TopLayer PDIP18_300MC_MCH           6700.000      16950.000     90       "No Description Available"                                         
"Slave #2" MCP23008-E/P       TopLayer PDIP18_300MC_MCH           4150.000      16950.000     90       "No Description Available"                                         
"Slave #1" MCP23008-E/P       TopLayer PDIP18_300MC_MCH           1450.000      16950.000     90       "No Description Available"                                         
R16        CR2512-J/-000ELF   TopLayer BO_CR2512                  12050.000     14800.000     270      "No Description Available"                                         
R15        0603_k4.7K         TopLayer RESC1608N                  9150.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R14        0603_k4.7K         TopLayer RESC1608N                  9050.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R13        0603_k4.7K         TopLayer RESC1608N                  8950.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R11        0603_k4.7K         TopLayer RESC1608N                  4200.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R10        0603_k4.7K         TopLayer RESC1608N                  4100.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R9         0603_k4.7K         TopLayer RESC1608N                  4000.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R6         0603_k4.7K         TopLayer RESC1608N                  1600.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R5         0603_k4.7K         TopLayer RESC1608N                  1500.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R4         0603_k4.7K         TopLayer RESC1608N                  1400.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R3         0603_k4.7K         TopLayer RESC1608N                  1300.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R2         0603_k4.7K         TopLayer RESC1608N                  1200.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
R1         0603_k4.7K         TopLayer RESC1608N                  1100.000      16566.535     90       "RES 4.7K OHM 1/10W 1% 0603 SMD"                                   
Q32        MC1413BDR2G        TopLayer SOIC16_751B-05_ONS         7500.000      15050.000     270      "No Description Available"                                         
Q31        MC1413BDR2G        TopLayer SOIC16_751B-05_ONS         3350.000      15050.000     270      "No Description Available"                                         
Q30        FOD817DSD          TopLayer FP-709AH-MFG               8300.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q29        FOD817DSD          TopLayer FP-709AH-MFG               8650.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q28        FOD817DSD          TopLayer FP-709AH-MFG               9000.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q27        FOD817DSD          TopLayer FP-709AH-MFG               9350.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q26        FOD817DSD          TopLayer FP-709AH-MFG               9700.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q25        FOD817DSD          TopLayer FP-709AH-MFG               10050.000     15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q24        FOD817DSD          TopLayer FP-709AH-MFG               10400.000     15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q23        FOD817DSD          TopLayer FP-709AH-MFG               3000.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q22        FOD817DSD          TopLayer FP-709AH-MFG               3350.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q21        FOD817DSD          TopLayer FP-709AH-MFG               3700.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q20        FOD817DSD          TopLayer FP-709AH-MFG               4050.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q19        FOD817DSD          TopLayer FP-709AH-MFG               4400.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q18        FOD817DSD          TopLayer FP-709AH-MFG               4750.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q17        FOD817DSD          TopLayer FP-709AH-MFG               5100.000      15800.000     270      "OPTOISOLATOR 5KV TRANSISTOR 4SMD"                                 
Q16        MC1413BDR2G        TopLayer SOIC16_751B-05_ONS         1400.000      15050.000     270      "No Description Available"                                         
